fyear,tic,Values,epspx1year,dvt1year,cik1year,ebitda1year,prcc_f1year,revt1year
1982,AAPL,18.24998474,0.7,0.0,320193.0,74.733,15.24999619,334.783
1983,AAPL,23.125,1.06,0.0,320193.0,118.765,18.24998474,583.061
1984,AAPL,25.125,1.28,0.0,320193.0,152.079,23.125,982.769
1985,AAPL,15.75,1.05,0.0,320193.0,129.411,25.125,1515.876
1986,AAPL,33.5,0.99,0.0,320193.0,189.066,15.75,1918.28
1986,ORCL,27.2499733,0.43,0.0,1341439.0,12.821,23.49999404,55.383
1987,AAPL,56.5,2.39,0.0,320193.0,324.606,33.5,1901.897
1987,MSFT,101.99988556,1.56,0.0,789019.0,66.605,30.74997711,197.514
1987,ORCL,16.74997473,0.5,0.0,1341439.0,33.041,27.2499733,131.271
1988,AAPL,43.25,1.65,15.234,320193.0,441.954,56.5,2661.068
1988,MSFT,66.99995041,2.6,0.0,789019.0,120.309,101.99988556,345.89
1988,ORCL,30.49998665,0.65,0.0,1341439.0,74.523,16.74997473,282.113
1989,AAPL,44.5,3.08,39.646,320193.0,698.015,43.25,4071.373
1989,MSFT,52.99993515,2.22,0.0,789019.0,190.28,66.99995041,590.827
1989,ORCL,19.74998903,1.22,0.0,1341439.0,142.612,30.49998665,583.673
1990,AAPL,29.0,3.53,50.311,320193.0,759.113,44.5,5284.013
1990,MSFT,75.99991608,3.03,0.0,789019.0,259.713,52.99993515,803.53
1990,ORCL,7.499990700000001,0.86,0.0,1341439.0,225.688,19.74998903,970.844
1991,AAPL,49.5,3.77,53.783,320193.0,948.371,29.0,5558.435
1991,MSFT,68.12498474,2.34,0.0,789019.0,433.556,75.99991608,1183.446
1991,ORCL,14.87498832,-0.09,0.0,1341439.0,81.248,7.499990700000001,1027.949
1992,AAPL,45.125,2.58,56.509,320193.0,875.825,49.5,6308.849
1992,MSFT,70.0,2.47,0.0,789019.0,714.324,68.12498474,1843.432
1992,ORCL,41.74998236,0.43,0.0,1341439.0,164.586,14.87498832,1178.496
1993,AAPL,23.375,4.33,57.196,320193.0,1022.99,45.125,7086.542
1993,MSFT,88.0,2.41,0.0,789019.0,1096.917,70.0,2758.725
1993,ORCL,34.24998522,0.97,0.0,1341439.0,297.14,41.74998236,1502.768
1994,AAPL,33.68699646,0.73,55.593,320193.0,597.307,23.375,7976.954
1994,MSFT,51.625,3.15,0.0,789019.0,1464.0,88.0,3753.0
1994,ORCL,34.74998116,0.96,0.0,1341439.0,485.198,34.24998522,2001.147
1995,AAPL,37.25,2.61,56.572,320193.0,563.377,33.68699646,9188.748
1995,MSFT,90.375,1.88,0.0,789019.0,1963.0,51.625,4649.0
1995,ORCL,33.12499237,1.0,0.0,1341439.0,748.831,34.74998116,2966.878
1996,AAPL,22.18699646,3.45,58.0,320193.0,788.0,37.25,11062.0
1996,MSFT,120.125,2.32,0.0,789019.0,2265.0,90.375,5937.0
1996,ORCL,46.62499237,0.9,0.0,1341439.0,1126.501,33.12499237,4223.3
1997,AAPL,21.68699646,-6.59,14.0,320193.0,-1048.0,22.18699646,9833.0
1997,MSFT,126.375,3.43,0.0,789019.0,3441.0,120.125,8671.0
1997,ORCL,23.625,1.22,0.0,1341439.0,1536.402,46.62499237,5684.336
1998,AAPL,38.125,-8.29,0.0,320193.0,-285.0,21.68699646,7081.0
1998,MSFT,108.375,2.63,15.0,789019.0,5483.0,126.375,11358.0
1998,ORCL,24.8125,0.83,0.0,1341439.0,1701.782,23.625,7143.866
1999,AAPL,63.3125,2.34,0.0,320193.0,379.0,38.125,5941.0
1999,MSFT,90.1875,1.83,28.0,789019.0,7468.0,108.375,14484.0
1999,ORCL,71.875,0.89,0.0,1341439.0,2215.265,24.8125,8827.252
2000,AAPL,25.75,4.2,0.0,320193.0,471.0,63.3125,6134.0
2000,MSFT,80.0,1.54,28.0,789019.0,10526.0,90.1875,19747.0
2000,ORCL,15.3,2.22,0.0,1341439.0,3471.085,71.875,10130.128
2001,AAPL,15.51,2.42,0.0,320193.0,704.0,25.75,7983.0
2001,MSFT,73.0,1.81,13.0,789019.0,11697.0,80.0,22956.0
2001,ORCL,7.92,0.46,0.0,1341439.0,4123.987,15.3,10859.672
2002,AAPL,14.5,-0.11,0.0,320193.0,-231.0,15.51,5363.0
2002,MSFT,54.7,1.45,0.0,789019.0,13256.0,73.0,25296.0
2002,ORCL,13.01,0.4,0.0,1341439.0,3934.0,7.92,9673.0
2003,AAPL,20.72,0.18,0.0,320193.0,164.0,14.5,5742.0
2003,MSFT,25.64,1.45,0.0,789019.0,13584.0,54.7,28365.0
2003,ORCL,11.4,0.44,0.0,1341439.0,3767.0,13.01,9475.0
2004,AAPL,38.75,0.19,0.0,320193.0,136.8,20.72,6207.0
2004,MSFT,28.56,0.93,857.0,789019.0,15330.0,25.64,32187.0
2004,ORCL,12.8,0.51,0.0,1341439.0,4152.2,11.4,10156.0
2005,AAPL,53.61,0.74,0.0,320193.0,498.5,38.75,8279.0
2005,MSFT,24.84,0.76,1729.0,789019.0,12376.0,28.56,36835.0
2005,ORCL,14.22,0.56,0.0,1341439.0,4802.0,12.8,11799.0
2006,AAPL,76.98,1.65,0.0,320193.0,1815.7,53.61,13931.0
2006,MSFT,23.3,1.13,36968.0,789019.0,17526.0,24.84,39788.0
2006,ORCL,19.38,0.65,0.0,1341439.0,5764.0,14.22,14380.0
2007,AAPL,153.47,2.36,0.0,320193.0,2662.8,76.98,19315.0
2007,MSFT,29.47,1.21,3594.0,789019.0,18571.0,23.3,44282.0
2007,ORCL,22.84,0.83,0.0,1341439.0,7260.0,19.38,17996.0
2008,AAPL,113.66,4.04,0.0,320193.0,4706.0,153.47,24006.0
2008,MSFT,27.51,1.44,3837.0,789019.0,19930.0,29.47,51122.0
2008,ORCL,19.59,1.08,0.0,1341439.0,9489.0,22.84,22430.0
2009,AAPL,185.35,5.48,0.0,320193.0,6711.0,113.66,32479.0
2009,MSFT,23.77,1.9,4084.0,789019.0,25877.0,27.51,60420.0
2009,ORCL,22.57,1.1,250.0,1341439.0,10531.0,19.59,23252.0
2010,AAPL,283.75,9.22,0.0,320193.0,12424.0,185.35,42905.0
2010,MSFT,23.01,1.63,4620.0,789019.0,22984.0,23.77,58437.0
2010,ORCL,34.22,1.22,1004.0,1341439.0,12109.0,22.57,26820.0
2011,MSFT,26.0,2.13,4547.0,789019.0,26664.0,23.01,62484.0
2011,ORCL,26.47,1.69,1061.0,1341439.0,15404.0,34.22,35622.0
2012,MSFT,30.59,2.73,5394.0,789019.0,29698.0,26.0,69943.0
2012,ORCL,33.78,1.99,1205.0,1341439.0,16973.0,26.47,37121.0
2013,FB,54.648999999999994,0.02,0.0,1326801.0,1182.0,26.6197,5089.0
2013,MSFT,34.545,2.02,6721.0,789019.0,30714.0,30.59,73723.0
2013,ORCL,42.02,2.29,1433.0,1341439.0,17274.0,33.78,37180.0
2014,FB,78.02,0.62,0.0,1326801.0,3923.0,54.648999999999994,7872.0
2014,MSFT,41.7,2.61,7694.0,789019.0,30836.0,34.545,77849.0
2014,ORCL,43.49,2.42,2178.0,1341439.0,17834.0,42.02,38275.0
2015,AAPL,110.3,6.49,11215.0,320193.0,60449.0,100.75,182795.0
2015,FB,104.66,1.12,0.0,1326801.0,6224.0,78.02,12466.0
2015,GOOGL,778.01,20.61,0.0,1652044.0,21476.0,530.66,66001.0
2015,MSFT,44.15,2.66,9271.0,789019.0,31749.0,41.7,86451.0
2015,ORCL,40.2,2.26,2255.0,1341439.0,17070.0,43.49,38226.0
2016,AAPL,113.05,9.28,11627.0,320193.0,81730.0,110.3,233715.0
2016,FB,115.05,1.31,0.0,1326801.0,8244.0,104.66,17928.0
2016,MSFT,51.17,1.49,10063.0,789019.0,33572.0,44.15,93580.0
2016,ORCL,45.39,2.11,2541.0,1341439.0,15555.0,40.2,37047.0
2017,AAPL,154.12,8.35,12188.0,320193.0,69276.0,113.05,215091.0
2017,FB,176.46,3.56,0.0,1326801.0,14834.0,115.05,27638.0
2017,MSFT,68.93,2.12,11329.0,789019.0,27170.0,51.17,85320.0
2017,ORCL,46.72,2.27,2631.0,1341439.0,15618.0,45.39,37728.0
